teff (K),abs (mag),spect
6053.486361,5.523,sdG8
5779.629373,14.222,DG
5836.87425,3.761,sdF7::
6241.940466,4.094,sdF6
6610.015901,2.62,sdF5
5527.542937,3.829,sdG8:
5857.664569,4.231,sdG0
6408.910425,3.877,sdF2:
11497.75265,4.691,sdB:
8147.336782,11.489,DAs
23022.08971,2.998,sdO:
5343.991492,5.257,DF
7145.3898,1.487,DAn...
11408.44915,10.661,DA
6227.296609,4.258,sdG2
16432.24324,7.597,DAwe...
5676.947207,5.017,sdG8
9908.462863,11.339,DA
6644.132206,4.363,sdF0
5870.22793,3.197,sdG8
3651.151373,0.121,Md
4276.263755,-0.338,Md
5459.948433,6.036,sdG4
6429.914661,4.51,sdF0:
36545.28943,7.974,DAw...
5995.24689,5.27,sdG5
3651.151373,1.141,Md
5921.16306,3.86,sdF9:
12443.0719,11.075,DAn
6271.488182,3.562,sdF2:
5129.501286,6.077,sdG5:
6291.381901,5.053,sdF8:
5836.87425,0.656,sdF8:
3651.151373,-10.75,Md
24546.02887,4.934,sdO:
5853.4917,-9.61,sdF:
5836.87425,5.687,sdF:
5523.933113,5.946,sdG2
26714.76864,1.347,sdO:
6080.846809,4.805,sdF6
5608.480469,6.014,sdF8:
6053.486361,5.312,sdG:
27684.58246,4.684,sdO:
3651.151373,3.079,Md
6080.846809,3.088,sdF:p
6504.806566,4.02,sdF5
6701.983181,2.922,sdF2
6256.670718,4.161,sdF5
12443.0719,-9.26,DAe
6017.480361,2.949,sdF8:
3767.041199,8.495,DA:
32362.63748,3.66,DA:
5150.588687,7.368,sdG3:
11776.5029,11.496,DA
7908.63258,13.182,DC:
5669.236582,5.455,sdG0
3651.151373,-9.96,Md
5891.317335,4.556,sdF8:
4141.07495,-10.75,Md
6266.539286,4.443,sdF5
6251.750984,5.009,sdA6:
6246.840911,3.269,sdF2
5916.876245,5.211,sdF4:
6839.957985,4.172,sdF6:
6155.345325,4.651,sdF:
9892.950588,11.11,DA
12843.1212,10.705,DA:
6472.444261,-8.53,sdF0::
5114.5704,6.486,sdG3:
6429.914661,4.545,sdF5:
3651.151373,-10.9,Md
6080.846809,3.373,sdF3
5184.168018,6.078,sdG2:
14708.00147,10.414,DA
6725.478332,3.476,sdF3:
3651.151373,-10.13,Md
8244.042487,12.107,DA
4477.687318,-8.99,Md
6193.45907,5.439,sdF:
8185.677279,0.664,sdA2
5921.16306,3.77,sdF8:
3564.140003,13.235,sdM4
6222.434383,4.707,sdF5:
6737.303352,0.735,F2III
6246.840911,2.535,sdG2
9265.460325,12.083,DAw...
11658.323,5.197,DB:p
3651.151373,-9.26,Md
5964.462482,5.089,sdF8:
12415.67932,10.572,DA
16323.0584,10.796,DAw
7091.000205,0.253,A7III
5498.828348,4.97,sdK0
3651.151373,-9.54,Md
6183.875378,-7.86,sdF5:
5604.737114,4.373,sdG2
10510.72093,10.611,DA:
5301.258997,6.525,sdG2:
6198.264858,4.032,sdF8
3651.151373,1.907,Md
5921.16306,5.148,sdF7:
6331.646916,3.664,sdF5
5623.516621,5.128,sdG2
33294.01561,6.807,DA:
3701.985022,8.726,sdM:
5870.22793,5.224,sdF8:
6193.45907,14.281,DC9
5015.846467,5.664,dG8
6393.269389,14.148,DA8
5676.947207,14.429,DC8
3564.140003,13.051,dM3.4
3459.55914,12.26,dM3.5
5193.421333,14.616,DC9
6241.940466,13.492,DA7
3613.216904,10.562,dM4
9986.946248,12.262,DQ5
5527.542937,14.547,DQ9
6785.128294,13.417,DA7
3564.140003,10.658,dM2.5e
7037.633942,12.311,DA6
3415.487573,12.824,dM5
3459.55914,12.017,dM2.5
8661.571144,12.844,DQ6
3813.457446,7.978,dK7   J
3437.346786,12.26,dM3.5
6499.384764,13.612,DC7
3799.241367,10.968,dM3
6785.128294,12.393,DA7
3261.949455,15.473,dM5.5e
6291.381901,13.368,DA7
3311.187588,14.029,dM8  e
3664.018883,8.994,dM0
6908.498473,13.382,DZ7
7621.466406,12.806,DA6
